"Country Name","Country Code","Region","Income_Group",
"","ABW","","Высокий уровень дохода",
"","AFG","Южная Азия","Низкий уровень дохода",
"","AGO","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","ALB","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","AND","","Высокий уровень дохода",
"","ARB","","",
"","ARE","","Высокий уровень дохода",
"","ARG","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","ARM","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","ASM","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"","ATG","","Высокий уровень дохода",
"","AUS","","Высокий уровень дохода",
"","AUT","","Высокий уровень дохода",
"","AZE","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","BDI","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","BEL","","Высокий уровень дохода",
"","BEN","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","BFA","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","BGD","Южная Азия","Уровень дохода ниже среднего  ",
"","BGR","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","BHR","","Высокий уровень дохода",
"","BHS","","Высокий уровень дохода",
"","BIH","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","BLR","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","BLZ","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","BMU","","Высокий уровень дохода",
"","BOL","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","BRA","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","BRB","","Высокий уровень дохода",
"","BRN","","Высокий уровень дохода",
"","BTN","Южная Азия","Уровень дохода ниже среднего  ",
