Date,Close,Open,High,Low,Vol.,Change %
2020-03-27,9632.52,9793.5,9886.18,9541.83,-,-3.68%
2020-03-26,10000.96,9621.24,10000.96,9526.17,160.45M,1.28%
2020-03-25,9874.26,9987.37,10137.62,9460.91,204.69M,1.79%
2020-03-24,9700.57,9242.06,9700.57,9102.17,203.84M,10.98%
2020-03-23,8741.15,8536.33,9071.14,8480.28,197.21M,-2.10%
2020-03-20,8928.95,9080.49,9201.07,8838.3,286.47M,3.70%
2020-03-19,8610.43,8495.94,8668.48,8257.53,205.54M,2.00%
2020-03-18,8441.71,8613.35,8670.41,8400.18,207.56M,-5.56%
2020-03-17,8939.1,9141.17,9145.93,8423.56,220.09M,2.25%
2020-03-16,8742.25,8728.48,8967.11,8255.65,302.20M,-5.31%
2020-03-13,9232.08,9480.78,9985.74,9064.68,325.90M,0.77%
2020-03-12,9161.13,9863.99,9932.56,9139.12,390.48M,-12.24%
2020-03-11,10438.68,10601.85,10761.43,10390.51,216.71M,-0.35%
2020-03-10,10475.49,10724.98,11032.29,10423.9,267.40M,-1.41%
2020-03-09,10625.02,10690.08,10995.22,10556.64,305.32M,-7.94%
2020-03-06,11541.87,11694.56,11769.85,11447.2,195.04M,-3.37%
2020-03-05,11944.72,12191.41,12207.77,11844.88,148.09M,-1.51%
2020-03-04,12127.69,11992.59,12199.82,11929.24,147.85M,1.19%
2020-03-03,11985.39,12013.06,12272.99,11906.82,195.94M,1.08%
2020-03-02,11857.87,12030.27,12121.6,11624.63,207.21M,-0.27%
2020-02-28,11890.35,11891.87,12008.59,11724.12,274.62M,-3.86%
2020-02-27,12367.46,12526.6,12593.62,12211.63,191.24M,-3.19%
2020-02-26,12774.88,12682.16,12849.17,12368.05,163.62M,-0.12%
2020-02-25,12790.49,13132.04,13132.04,12778.66,129.55M,-1.88%
2020-02-24,13035.24,13231.38,13236.58,12982.14,165.15M,-4.01%
2020-02-21,13579.33,13609.94,13689.23,13500.5,108.77M,-0.62%
2020-02-20,13664.0,13774.44,13788.41,13664.0,86.44M,-0.91%
2020-02-19,13789.0,13751.05,13789.0,13710.78,90.19M,0.79%
2020-02-18,13681.19,13668.94,13731.39,13660.45,82.09M,-0.75%
