Date,Open,Max,Min,Close,Trading Volume
04.03.2020,1336,30,1364,55,1326
03.03.2020,1336,10,1360,28,1320
02.03.2020,1332,74,1368,63,1275
28.02.2020,1359,93,1362,43,1279
27.02.2020,1438,28,1444,5,1381
26.02.2020,1442,87,1464,34,1419
25.02.2020,1504,6,1506,85,1445
21.02.2020,1525,88,1531,62,1515
20.02.2020,1546,35,1552,4,1535
19.02.2020,1525,1,1544,62,1525
18.02.2020,1540,60,1540,95,1510
17.02.2020,1535,16,1546,87,1535
14.02.2020,1541,28,1550,12,1528
13.02.2020,1553,32,1554,20,1530
12.02.2020,1542,81,1557,93,1541
11.02.2020,1509,16,1548,27,1509
10.02.2020,1517,68,1530,4,1495
07.02.2020,1542,11,1547,97,1506
06.02.2020,1569,33,1579,9,1533
05.02.2020,1550,18,1579,60,1538
04.02.2020,1523,91,1550,22,1523
03.02.2020,1509,20,1530,86,1507
31.01.2020,1559,98,1568,82,1517
30.01.2020,1565,60,1565,78,1544
29.01.2020,1581,7,1584,26,1563
28.01.2020,1549,47,1572,73,1531
27.01.2020,1584,97,1584,97,1541
24.01.2020,1601,66,1614,68,1597
23.01.2020,1611,12,1614,98,1593
22.01.2020,1635,64,1643,19,1612
21.01.2020,1644,18,1644,18,1622
20.01.2020,1640,50,1651,82,1640
17.01.2020,1615,15,1641,82,1614
16.01.2020,1608,93,1618,10,1608
15.01.2020,1604,3,1615,64,1588
14.01.2020,1622,41,1625,61,1602
13.01.2020,1612,38,1620,17,1608
10.01.2020,1602,40,1614,69,1594
09.01.2020,1597,24,1607,28,1590
08.01.2020,1567,72,1590,21,1563
06.01.2020,1560,36,1568,35,1549
03.01.2020,1554,72,1567,86,1553
30.12.2019,1549,59,1558,24,1545
27.12.2019,1533,81,1552,73,1533
26.12.2019,1541,5,1546,50,1533
25.12.2019,1541,59,1549,88,1541
24.12.2019,1535,88,1541,87,1534
23.12.2019,1522,85,1535,0,1522
20.12.2019,1522,10,1530,86,1519
19.12.2019,1514,40,1526,48,1511
18.12.2019,1520,18,1524,62,1511
17.12.2019,1519,79,1521,77,1512
16.12.2019,1504,4,1520,70,1502
13.12.2019,1499,36,1515,14,1496
12.12.2019,1476,90,1502,81,1476
11.12.2019,1454,75,1466,70,1453
10.12.2019,1458,8,1460,92,1446
09.12.2019,1448,82,1458,90,1445
06.12.2019,1433,89,1448,65,1431
05.12.2019,1430,44,1434,16,1421
04.12.2019,1417,91,1433,56,1410
03.12.2019,1432,13,1435,81,1414
02.12.2019,1438,81,1448,98,1432
29.11.2019,1438,47,1441,2,1428
28.11.2019,1441,25,1442,47,1431
27.11.2019,1444,41,1450,34,1437
26.11.2019,1455,84,1458,88,1437
25.11.2019,1456,72,1462,51,1450
22.11.2019,1453,42,1468,40,1451
21.11.2019,1449,80,1456,62,1445
20.11.2019,1449,8,1452,40,1433
19.11.2019,1445,16,1456,1,1441
18.11.2019,1456,17,1461,20,1436
15.11.2019,1440,29,1450,84,1435
14.11.2019,1438,67,1448,54,1425
13.11.2019,1443,19,1443,19,1430
12.11.2019,1461,37,1471,19,1447
11.11.2019,1464,32,1466,12,1455
08.11.2019,1486,56,1486,56,1457
07.11.2019,1468,60,1487,82,1463
06.11.2019,1463,46,1471,38,1453
05.11.2019,1463,31,1473,74,1454
01.11.2019,1422,26,1455,44,1419
31.10.2019,1439,21,1451,26,1417
30.10.2019,1419,81,1437,1,1416
29.10.2019,1412,45,1424,5,1405
28.10.2019,1420,31,1432,26,1408
25.10.2019,1414,15,1423,14,1402
24.10.2019,1390,68,1413,63,1390
23.10.2019,1382,83,1392,47,1377
22.10.2019,1367,67,1387,68,1366
21.10.2019,1363,43,1369,6,1358
18.10.2019,1350,5,1358,63,1349
17.10.2019,1349,24,1356,29,1346
16.10.2019,1330,57,1348,18,1329
15.10.2019,1321,24,1331,78,1318
14.10.2019,1329,57,1332,28,1319
11.10.2019,1330,97,1341,70,1328
10.10.2019,1315,34,1330,92,1310
09.10.2019,1306,81,1321,83,1306
08.10.2019,1319,14,1324,76,1303
07.10.2019,1313,90,1322,26,1305
04.10.2019,1309,73,1319,88,1309
03.10.2019,1313,97,1317,66,1300
02.10.2019,1330,69,1331,50,1311
01.10.2019,1335,64,1346,70,1328
30.09.2019,1344,13,1348,2,1331
27.09.2019,1360,21,1360,58,1347
26.09.2019,1353,18,1363,20,1350
25.09.2019,1353,39,1354,1,1340
24.09.2019,1374,41,1379,42,1355
23.09.2019,1374,36,1375,32,1363
20.09.2019,1376,21,1379,41,1368
19.09.2019,1382,32,1386,99,1373
18.09.2019,1379,67,1382,47,1375
17.09.2019,1393,30,1399,36,1374
16.09.2019,1376,21,1396,25,1375
13.09.2019,1360,97,1370,77,1359
12.09.2019,1354,56,1364,76,1349
11.09.2019,1342,55,1358,67,1339
10.09.2019,1338,65,1343,95,1330
09.09.2019,1343,16,1349,90,1336
06.09.2019,1334,57,1342,50,1328
05.09.2019,1332,36,1344,75,1332
04.09.2019,1315,10,1332,73,1315
