Date,Open
04.03.2020,1336
03.03.2020,1336
02.03.2020,1332
28.02.2020,1359
27.02.2020,1438
26.02.2020,1442
25.02.2020,1504
21.02.2020,1525
20.02.2020,1546
19.02.2020,1525
18.02.2020,1540
17.02.2020,1535
14.02.2020,1541
13.02.2020,1553
12.02.2020,1542
11.02.2020,1509
10.02.2020,1517
07.02.2020,1542
06.02.2020,1569
05.02.2020,1550
04.02.2020,1523
03.02.2020,1509
31.01.2020,1559
30.01.2020,1565
29.01.2020,1581
28.01.2020,1549
27.01.2020,1584
24.01.2020,1601
23.01.2020,1611
22.01.2020,1635
21.01.2020,1644
20.01.2020,1640
17.01.2020,1615
16.01.2020,1608
15.01.2020,1604
14.01.2020,1622
13.01.2020,1612
10.01.2020,1602
09.01.2020,1597
08.01.2020,1567
06.01.2020,1560
03.01.2020,1554
30.12.2019,1549
27.12.2019,1533
26.12.2019,1541
25.12.2019,1541
24.12.2019,1535
23.12.2019,1522
20.12.2019,1522
19.12.2019,1514
18.12.2019,1520
17.12.2019,1519
16.12.2019,1504
13.12.2019,1499
12.12.2019,1476
11.12.2019,1454
10.12.2019,1458
09.12.2019,1448
06.12.2019,1433
05.12.2019,1430
04.12.2019,1417
03.12.2019,1432
02.12.2019,1438
29.11.2019,1438
28.11.2019,1441
27.11.2019,1444
26.11.2019,1455
25.11.2019,1456
22.11.2019,1453
21.11.2019,1449
20.11.2019,1449
19.11.2019,1445
18.11.2019,1456
15.11.2019,1440
14.11.2019,1438
13.11.2019,1443
12.11.2019,1461
11.11.2019,1464
08.11.2019,1486
07.11.2019,1468
06.11.2019,1463
05.11.2019,1463
01.11.2019,1422
31.10.2019,1439
30.10.2019,1419
29.10.2019,1412
28.10.2019,1420
25.10.2019,1414
24.10.2019,1390
23.10.2019,1382
22.10.2019,1367
21.10.2019,1363
18.10.2019,1350
17.10.2019,1349
16.10.2019,1330
15.10.2019,1321
14.10.2019,1329
11.10.2019,1330
10.10.2019,1315
09.10.2019,1306
08.10.2019,1319
07.10.2019,1313
04.10.2019,1309
03.10.2019,1313
02.10.2019,1330
01.10.2019,1335
30.09.2019,1344
27.09.2019,1360
26.09.2019,1353
25.09.2019,1353
24.09.2019,1374
23.09.2019,1374
20.09.2019,1376
19.09.2019,1382
18.09.2019,1379
17.09.2019,1393
16.09.2019,1376
13.09.2019,1360
12.09.2019,1354
11.09.2019,1342
10.09.2019,1338
09.09.2019,1343
06.09.2019,1334
05.09.2019,1332
04.09.2019,1315
03.09.2019,1306
02.09.2019,1293
30.08.2019,1285
29.08.2019,1264
28.08.2019,1260
27.08.2019,1268
26.08.2019,1265
23.08.2019,1286
22.08.2019,1280
21.08.2019,1267
20.08.2019,1248
19.08.2019,1244
16.08.2019,1257
15.08.2019,1260
14.08.2019,1302
13.08.2019,1294
12.08.2019,1296
09.08.2019,1306
08.08.2019,1298
07.08.2019,1294
