Date,Open,High,Low,Close,Vol
1998-03-19,330.9,331.61,329.47,331.61,65502924
1998-03-20,336.56,336.56,334.32,335.78,69381427
1998-03-23,323.9,342.85,323.9,342.85,155641192
1998-03-24,348.87,348.87,344.75,344.75,94232591
1998-03-25,344.38,344.38,340.62,341.89,69591223
1998-03-26,341.19,341.19,334.8,335.03,67150489
1998-03-27,340.38,341.48,339.0,341.48,80174903
1998-03-30,337.88,337.88,331.26,331.28,27561806
1998-03-31,325.94,326.11,324.39,325.5,48876107
1998-04-01,322.88,322.88,317.93,321.91,62385328
1998-04-02,320.74,323.49,320.74,323.13,41405957
1998-04-03,319.51,319.97,312.26,313.48,83965976
1998-04-06,316.39,317.36,314.54,316.42,38642047
1998-04-07,315.55,317.23,315.55,316.33,35306105
1998-04-08,315.2,315.28,311.38,312.52,40063630
1998-04-09,312.59,312.59,306.39,306.39,48894139
1998-04-10,306.44,308.96,304.13,308.96,32934534
1998-04-13,309.98,310.07,309.16,310.07,16760967
1998-04-14,307.94,309.79,307.02,308.85,46668539
1998-04-15,310.84,314.99,310.84,313.12,71726165
1998-04-16,314.05,320.44,314.05,319.83,60269336
1998-04-17,318.32,318.71,312.69,312.69,58313449
1998-04-20,314.42,314.42,312.84,312.84,22489352
1998-04-21,313.5,315.04,313.5,314.26,27400190
1998-04-22,319.0,319.0,315.52,317.48,82475720
1998-04-23,323.84,324.48,322.1,322.1,74707399
1998-04-24,322.82,330.4,322.82,326.16,109998112
1998-04-27,324.1,324.1,309.63,309.63,74988952
1998-04-28,304.25,305.18,303.08,304.13,70517110
1998-04-29,305.77,308.63,305.55,306.21,62958712
1998-04-30,307.53,312.37,305.67,312.37,88041069
1998-05-05,320.23,320.23,315.21,315.21,96241714
1998-05-06,312.62,313.22,310.28,310.61,37147641
1998-05-07,307.23,307.3,304.74,304.74,60377940
1998-05-08,301.1,305.02,301.1,302.82,66231644
1998-05-12,300.46,300.46,290.72,290.72,52961464
1998-05-13,279.33,279.33,274.93,279.19,75559471
1998-05-14,280.29,280.29,263.66,263.66,81224996
1998-05-15,258.97,259.23,251.34,258.1,106609117
1998-05-18,247.49,247.49,227.61,227.61,86785182
1998-05-19,238.16,238.63,234.68,236.58,89491438
1998-05-20,226.74,233.15,226.74,233.15,59775950
1998-05-21,238.29,238.47,229.87,230.23,65000018
1998-05-22,226.68,226.68,223.15,225.41,46293721
1998-05-25,222.17,222.17,213.44,213.44,42811768
1998-05-26,203.81,209.63,203.81,209.33,58526335
1998-05-27,194.45,194.45,182.21,187.23,75483339
1998-05-28,199.53,203.47,197.8,198.74,65551699
1998-05-29,195.06,196.14,189.08,191.29,38335471
1998-06-01,185.67,185.67,171.71,171.71,28636703
1998-06-02,175.81,192.75,175.81,192.75,31216233
1998-06-03,202.92,211.67,202.92,209.07,66179008
1998-06-04,215.17,216.47,208.03,208.61,55014392
1998-06-05,208.86,210.77,207.53,207.65,21801125
1998-06-08,203.23,207.14,203.23,205.31,20549349
1998-06-09,203.97,203.97,195.02,196.45,28476271
1998-06-10,184.19,189.16,184.19,184.26,38069248
1998-06-11,176.23,178.13,174.1,178.13,24510857
1998-06-15,170.59,171.35,164.77,165.11,22239951
1998-06-16,162.16,170.42,162.16,169.02,41578800
1998-06-17,173.66,181.99,170.03,181.99,47027251
1998-06-18,190.92,190.92,176.67,177.24,60198621
1998-06-19,170.23,176.6,170.23,174.65,41417878
1998-06-22,172.86,173.03,170.97,172.37,14170477
1998-06-23,172.01,172.62,170.81,172.61,10744264
1998-06-24,174.34,178.47,174.18,178.21,24666006
1998-06-25,177.65,177.65,172.57,172.57,27686801
1998-06-26,163.34,166.12,163.3,163.99,34829261
1998-06-29,157.06,157.37,153.22,153.97,25509020
1998-06-30,154.24,154.24,149.98,151.35,18856453
1998-07-01,154.74,154.74,145.72,145.72,21209835
1998-07-02,142.6,144.65,140.99,144.21,27876990
1998-07-03,145.76,151.33,145.76,151.33,22176553
1998-07-06,150.55,150.55,145.01,145.01,11635605
1998-07-07,138.86,138.86,131.71,138.47,29560782
1998-07-08,136.74,136.74,132.57,134.81,17669074
1998-07-09,135.51,137.35,135.51,136.19,13074419
1998-07-10,138.16,144.02,138.16,144.02,29865965
1998-07-13,147.56,157.21,147.56,157.2,37926228
1998-07-14,174.57,184.07,174.57,183.65,72044694
1998-07-15,178.82,190.56,178.82,190.56,67955837
1998-07-16,189.36,189.36,181.32,181.32,47349443
1998-07-17,187.21,193.35,187.21,193.35,50767874
1998-07-20,194.35,194.51,190.54,193.02,19831242
1998-07-21,187.34,188.75,183.95,183.95,35148291
1998-07-22,175.37,175.37,168.7,171.73,46282174
1998-07-23,167.78,167.78,159.86,159.86,30141505
1998-07-24,159.21,160.33,156.66,157.74,25646589
1998-07-27,153.76,153.76,143.46,143.46,22920078
1998-07-28,145.38,149.24,139.66,147.28,32840128
1998-07-29,147.16,150.77,147.16,147.96,26573851
1998-07-30,150.26,153.23,150.17,150.17,22895751
1998-07-31,155.49,156.27,149.65,149.65,25199999
1998-08-03,146.6,146.6,144.86,145.64,12647609
1998-08-04,145.12,148.74,145.12,147.21,12049243
1998-08-05,144.23,144.91,141.68,141.68,12281964
1998-08-06,142.34,142.58,135.88,135.88,16566876
1998-08-07,133.44,133.44,128.86,132.86,22001357
1998-08-10,128.26,128.26,120.91,120.91,15255824
1998-08-11,115.34,115.34,106.58,109.9,18498093
1998-08-12,115.12,115.12,108.19,108.19,21689298
1998-08-13,97.38,101.17,95.42,101.17,9479133
1998-08-14,105.21,116.55,105.21,115.0,22882238
1998-08-17,111.06,117.41,108.85,109.43,10230496
1998-08-18,103.86,103.86,99.07,99.58,11627091
1998-08-19,97.36,97.36,88.21,90.19,8072523
1998-08-20,88.55,88.71,86.57,86.57,4691215
1998-08-21,82.76,82.76,79.5,81.76,4149779
1998-08-24,80.83,86.69,80.83,86.4,4512675
1998-08-25,87.39,89.57,87.39,88.5,8361553
1998-08-26,82.87,82.87,76.26,76.26,5202175
1998-08-27,72.78,73.68,63.2,63.2,5371992
1998-08-28,62.87,68.96,61.15,66.77,2239758
1998-08-31,66.31,66.31,64.26,65.61,1577380
1998-09-01,63.01,66.75,62.93,65.66,1441393
1998-09-02,66.63,66.64,65.29,65.63,2232260
1998-09-03,64.09,64.09,61.43,61.43,1174221
1998-09-04,60.79,63.13,59.99,63.13,2943751
1998-09-07,65.96,66.28,63.28,63.28,2264091
1998-09-08,62.85,63.31,62.12,62.61,1173641
1998-09-09,62.56,62.68,61.61,61.63,618443
1998-09-10,61.85,67.11,61.85,64.6,2835774
1998-09-11,61.14,63.32,61.14,62.31,2235965
1998-09-14,62.31,64.71,62.31,63.88,1158500
1998-09-15,64.21,64.21,62.03,62.03,764950
1998-09-16,62.83,62.83,58.86,58.86,1327650
1998-09-17,58.86,58.86,51.7,52.31,550170
1998-09-18,52.8,52.8,50.12,50.12,1137781
1998-09-21,50.51,50.51,47.81,47.81,703095
1998-09-22,49.16,49.65,48.13,49.65,1111327
1998-09-23,50.08,50.21,47.65,47.65,995262
1998-09-24,48.8,48.8,48.31,48.31,1152476
1998-09-25,48.31,48.31,47.08,47.08,182737
1998-09-28,47.08,47.65,46.24,46.24,298273
1998-09-29,46.24,46.44,45.86,45.86,318565
1998-09-30,45.82,45.82,43.81,43.81,336055
1998-10-01,43.81,43.81,41.13,41.18,655218
1998-10-02,41.2,41.2,37.74,38.81,690300
1998-10-05,38.81,38.81,37.91,38.53,376400
1998-10-06,38.53,41.05,38.33,41.05,613701
1998-10-07,41.72,43.48,41.72,42.94,1407363
1998-10-08,42.78,43.05,41.35,41.35,877077
1998-10-09,41.34,42.69,41.34,42.55,795033
1998-10-12,43.19,44.98,43.19,44.75,639738
1998-10-13,46.28,47.85,46.28,47.67,1467123
1998-10-14,48.1,51.89,48.1,51.89,3040891
1998-10-15,58.97,60.25,58.25,58.73,6286743
1998-10-16,64.57,64.57,55.32,55.32,7444760
1998-10-19,56.15,56.76,55.48,55.91,1442430
1998-10-20,55.45,56.68,55.21,56.68,1070776
1998-10-21,57.78,61.94,57.78,61.94,3738455
1998-10-22,61.94,62.56,60.8,60.96,2399931
1998-10-23,59.5,60.42,59.18,60.42,1827293
1998-10-26,59.68,60.69,59.54,59.54,822685
1998-10-27,56.75,57.32,56.57,56.89,2831332
1998-10-28,54.59,54.59,53.13,53.54,1965633
1998-10-29,53.7,56.54,53.7,55.39,2138135
1998-10-30,56.7,57.54,56.45,57.54,2506290
1998-11-02,57.3,58.57,57.3,58.38,2657637
1998-11-03,58.59,59.36,58.59,59.36,4085789
1998-11-04,60.1,62.08,60.1,61.07,3957903
1998-11-05,63.03,63.18,60.38,60.38,3904718
1998-11-06,60.94,61.13,60.35,61.13,2345093
1998-11-10,61.21,61.21,60.23,60.67,1411730
1998-11-11,60.91,60.91,60.57,60.76,1626775
1998-11-12,61.04,61.89,60.53,60.53,2106446
1998-11-13,60.0,60.0,59.32,59.32,2580326
1998-11-16,59.35,59.55,58.85,59.55,1244888
1998-11-17,59.88,60.02,59.85,60.02,1060515
1998-11-18,60.38,60.38,59.48,59.76,1223182
1998-11-19,60.19,60.19,60.03,60.04,986260
1998-11-20,60.6,63.36,60.49,63.36,4596603
1998-11-23,68.85,71.13,68.64,70.13,8585475
1998-11-24,72.81,73.8,70.66,70.85,8347836
1998-11-25,68.23,70.01,68.23,69.15,4255342
1998-11-26,69.23,72.0,69.23,72.0,3152631
1998-11-27,72.17,72.2,71.57,71.57,1200232
1998-11-30,72.34,72.34,71.46,71.46,1955015
1998-12-01,69.9,69.9,67.38,67.74,3566376
1998-12-02,67.88,68.13,67.73,68.07,1930177
1998-12-03,64.57,65.38,62.88,65.38,5859190
1998-12-04,62.89,64.0,62.32,64.0,2811457
1998-12-07,64.0,64.16,62.85,63.32,779551
1998-12-08,61.24,61.24,60.44,60.44,2212305
1998-12-09,59.07,59.32,58.6,58.71,2668131
1998-12-10,60.12,61.9,60.12,60.95,3731748
1998-12-11,60.41,60.41,58.48,58.67,1910136
1998-12-15,58.96,59.35,58.74,58.79,1446688
1998-12-16,59.68,60.95,59.68,60.95,3352635
1998-12-17,61.62,61.62,60.42,60.42,2889800
1998-12-18,59.62,59.62,58.66,59.24,2232026
1998-12-21,59.21,60.3,59.21,60.25,1524135
1998-12-22,60.12,60.66,59.7,60.16,1969382
1998-12-23,60.16,60.44,59.9,60.44,1038170
1998-12-24,60.5,60.5,59.82,60.11,735938
1998-12-25,59.66,59.94,59.66,59.94,726774
1998-12-28,59.94,60.11,59.49,59.95,436021
1998-12-29,60.09,60.09,59.66,59.68,1188709
1998-12-30,59.82,59.82,59.16,59.39,1040268
1998-12-31,59.0,59.0,58.93,58.93,250500
1999-01-05,58.93,60.14,58.93,59.7,1261046
1999-01-06,60.19,61.34,59.97,61.27,1271346
1999-01-10,62.29,62.93,62.08,62.93,931810
1999-01-11,62.36,62.39,61.35,61.35,2106341
1999-01-12,60.72,60.72,60.06,60.17,1815139
1999-01-13,60.1,60.11,55.64,55.64,1932135
1999-01-14,57.16,57.16,56.56,56.94,1811877
1999-01-15,55.88,55.93,54.99,55.4,2673390
1999-01-18,55.88,55.88,55.48,55.71,694858
1999-01-19,55.79,56.1,55.44,56.1,1405759
1999-01-20,56.21,56.99,56.21,56.99,1755719
1999-01-21,57.32,58.43,57.32,57.59,3657917
1999-01-22,57.57,57.57,55.68,55.68,1235130
1999-01-25,55.68,55.89,55.31,55.6,567769
1999-01-26,55.57,55.61,55.51,55.55,474525
1999-01-27,55.42,55.42,55.03,55.03,1060795
1999-01-28,54.75,54.75,54.18,54.49,1794042
1999-01-29,55.13,55.21,55.04,55.12,889557
1999-02-01,55.29,55.29,55.07,55.09,1829208
1999-02-02,55.22,55.22,55.04,55.14,1278185
1999-02-03,55.12,55.47,55.12,55.3,1315575
1999-02-04,55.45,56.03,55.38,55.96,1529617
1999-02-05,55.37,55.69,55.37,55.69,919506
1999-02-08,56.04,56.6,56.04,56.6,1193833
1999-02-09,58.01,58.94,58.01,58.94,6199111
1999-02-10,60.95,63.3,60.95,62.98,12681308
1999-02-11,66.78,67.53,65.47,67.53,9777277
1999-02-12,65.18,65.18,63.95,65.16,5148961
1999-02-15,64.43,64.55,63.76,64.01,1598343
1999-02-16,64.36,65.76,64.33,65.6,4131616
1999-02-17,65.21,66.9,65.21,65.79,4546784
1999-02-18,65.66,66.83,65.66,66.52,4229311
1999-02-19,67.97,70.88,67.97,70.22,11254881
1999-02-22,74.61,76.99,74.53,75.4,12078321
1999-02-23,75.97,75.97,73.93,73.93,4910350
1999-02-24,72.98,75.5,72.98,75.5,5544940
1999-02-25,76.43,76.63,71.36,71.36,7463232
1999-02-26,70.8,70.8,68.89,70.03,4657677
1999-03-01,72.04,73.69,71.76,73.5,4604170
1999-03-02,75.08,76.07,75.08,76.07,8005997
1999-03-03,75.05,75.05,73.1,73.33,3943304
1999-03-04,72.59,72.89,70.93,70.93,3650123
1999-03-05,72.5,72.64,71.83,72.61,3394115
1999-03-09,72.85,73.92,72.85,73.71,3995241
1999-03-10,74.06,76.52,73.77,76.52,6962720
1999-03-11,81.08,82.3,81.08,82.24,15102169
1999-03-12,84.1,84.1,81.66,82.98,13854702
1999-03-15,82.45,83.84,82.31,83.84,6065762
1999-03-16,84.16,86.63,84.16,86.63,9740289
1999-03-17,87.0,91.11,87.0,90.02,15791557
1999-03-18,90.65,90.65,84.53,84.53,14217368
1999-03-19,85.48,85.7,84.54,85.7,9152194
1999-03-22,84.54,84.54,81.81,81.98,9328198
1999-03-23,79.56,80.96,79.4,80.96,9918587
1999-03-24,74.86,76.82,74.86,76.82,12820045
1999-03-25,78.27,80.92,78.12,80.65,10523835
1999-03-26,83.71,83.71,79.94,79.94,11337642
1999-03-29,80.03,80.03,78.82,79.85,4256360
1999-03-30,81.18,81.78,80.82,81.18,5919507
1999-03-31,79.98,80.36,79.54,80.36,4187670
1999-04-01,79.98,79.98,78.7,78.7,2836104
1999-04-02,78.51,79.31,78.03,79.31,2274084
1999-04-05,79.37,79.61,79.23,79.24,998320
1999-04-06,78.72,78.72,75.51,75.51,5828919
1999-04-07,75.68,75.68,71.9,72.98,4985334
1999-04-08,72.37,72.37,70.56,70.9,4855003
1999-04-09,69.87,69.87,66.63,66.88,7150739
1999-04-12,66.38,69.05,66.38,68.59,4982302
1999-04-13,70.11,70.98,69.15,69.15,4757178
1999-04-14,70.03,73.57,70.03,73.57,7905817
1999-04-15,75.47,76.97,75.47,75.68,8063593
1999-04-16,77.21,79.59,77.21,79.59,12264812
1999-04-19,82.07,82.43,80.48,81.1,9538189
1999-04-20,79.75,79.75,76.51,76.58,7590505
1999-04-21,75.22,77.45,75.22,76.91,6893037
1999-04-22,78.27,80.82,78.27,80.33,7681678
1999-04-23,83.36,83.36,82.23,82.83,8312397
1999-04-26,82.84,83.92,82.84,83.92,3638240
1999-04-27,84.71,85.32,83.72,83.72,8494770
1999-04-28,82.82,82.82,80.95,81.47,7086362
1999-04-29,83.28,87.16,83.28,87.16,15941119
1999-04-30,88.72,92.25,88.72,91.83,19002265
1999-05-05,104.54,104.65,100.11,102.69,16355594
1999-05-06,102.67,104.68,101.98,104.67,13950045
1999-05-07,103.91,104.37,100.84,100.97,15942831
1999-05-11,99.77,99.77,96.26,97.11,5789336
1999-05-12,89.23,89.23,80.12,81.39,17181735
1999-05-13,78.91,83.58,77.7,83.58,7138979
1999-05-14,84.81,84.81,82.58,82.58,7447761
1999-05-17,91.24,94.22,91.24,92.13,13641876
1999-05-18,94.9,99.15,94.9,99.15,13664069
1999-05-19,99.44,100.59,98.23,98.23,16754380
1999-05-20,95.57,98.49,94.69,98.49,8647531
1999-05-21,96.59,98.4,96.59,98.16,6759361
1999-05-24,100.76,101.62,100.76,101.6,9475546
1999-05-25,98.85,99.24,97.14,98.62,10038738
1999-05-26,96.98,99.9,96.98,99.9,9378969
1999-05-27,102.74,103.01,100.32,100.32,10991146
1999-05-28,98.64,99.1,97.83,99.1,8156146
1999-05-31,96.25,97.64,96.25,97.64,5554255
1999-06-01,98.26,98.26,96.76,96.76,5204326
