Date,Open,High,Low,Close,Vol
1999-01-26,22.82,22.82,22.82,22.82,0
1999-01-27,23.06,23.06,23.06,23.06,0
1999-01-28,23.05,23.05,23.05,23.05,0
1999-01-29,22.6,22.6,22.6,22.6,0
1999-02-01,22.77,22.77,22.77,22.77,0
1999-02-02,22.92,22.92,22.92,22.92,0
1999-02-03,23.12,23.12,23.12,23.12,0
1999-02-04,23.14,23.14,23.14,23.14,0
1999-02-05,23.27,23.27,23.27,23.27,0
1999-02-08,23.05,23.05,23.05,23.05,0
1999-02-09,23.04,23.04,23.04,23.04,0
1999-02-10,22.76,22.76,22.76,22.76,0
1999-02-11,22.79,22.79,22.79,22.79,0
1999-02-12,22.89,22.89,22.89,22.89,0
1999-02-16,23.11,23.11,23.11,23.11,0
1999-02-17,22.87,22.87,22.87,22.87,0
1999-02-18,22.92,22.92,22.92,22.92,0
1999-02-19,22.89,22.89,22.89,22.89,0
1999-02-22,22.91,22.91,22.91,22.91,0
1999-02-23,22.95,22.95,22.95,22.95,0
1999-02-24,22.9,22.9,22.9,22.9,0
1999-02-25,22.97,22.97,22.97,22.97,0
1999-02-26,22.86,22.86,22.86,22.86,0
1999-03-01,22.89,22.89,22.89,22.89,0
1999-03-02,23.08,23.08,23.08,23.08,0
1999-03-03,23.23,23.23,23.23,23.23,0
1999-03-04,23.01,23.01,23.01,23.01,0
1999-03-05,23.09,23.09,23.09,23.09,0
1999-03-08,22.14,22.14,22.14,22.14,0
1999-03-09,23.35,23.35,23.35,23.35,0
1999-03-10,23.34,23.34,23.34,23.34,0
1999-03-11,23.4,23.4,23.4,23.4,0
1999-03-12,23.4,23.4,23.4,23.4,0
1999-03-15,23.4,23.4,23.4,23.4,0
1999-03-16,23.35,23.35,23.35,23.35,0
1999-03-17,23.4,23.4,23.4,23.4,0
1999-03-18,24.21,24.21,24.21,24.21,0
1999-03-19,24.21,24.21,24.21,24.21,0
1999-03-22,23.92,23.92,23.92,23.09,0
1999-03-24,24.22,24.22,24.22,24.22,0
1999-03-25,25.65,27.7,25.65,27.7,0
1999-03-26,27.32,27.32,24.8,26.7,0
1999-03-29,26.6,26.6,25.15,23.8,0
1999-03-30,25.19,25.2,24.82,24.63,0
1999-03-31,25.05,25.17,24.83,25.0,0
1999-04-01,25.0,25.0,24.94,24.6,0
1999-04-05,26.16,26.33,26.05,25.11,0
1999-04-06,25.784,25.899,25.784,25.899,0
1999-04-07,25.899,25.9,25.825,25.829,0
1999-04-08,25.829,25.899,25.829,25.899,0
1999-04-09,25.899,25.905,25.899,25.899,0
1999-04-12,25.899,25.9,25.899,25.9,0
1999-04-13,25.899,25.899,25.879,25.889,0
1999-04-14,25.889,25.91,25.865,25.875,0
1999-04-15,25.899,25.899,25.689,25.689,0
1999-04-16,25.689,25.689,25.689,25.689,0
1999-04-19,25.689,25.689,25.689,25.689,0
1999-04-20,25.689,25.689,25.689,25.689,0
1999-04-21,24.85,24.85,24.85,24.85,0
1999-04-22,25.124,25.124,24.879,24.949,0
1999-04-23,24.949,24.95,24.949,24.95,0
1999-04-26,24.949,24.949,24.949,24.949,0
1999-04-27,24.5,24.5,24.5,24.5,0
1999-04-28,24.52,24.52,24.52,24.52,0
1999-04-29,24.2,24.2,24.2,24.2,0
1999-04-30,24.349,24.349,24.349,24.349,0
1999-05-03,24.349,24.75,24.349,24.75,0
1999-05-04,24.749,24.75,24.749,24.749,0
1999-05-05,24.749,24.749,24.749,24.749,0
1999-05-06,24.749,24.749,24.284,24.285,0
1999-05-07,24.284,24.284,24.224,24.24,0
1999-05-10,24.224,24.264,24.224,24.264,0
1999-05-11,24.25,24.25,24.25,24.25,0
1999-05-12,24.374,24.374,24.374,24.374,0
1999-05-13,24.374,25.499,24.374,25.499,0
1999-05-14,25.499,25.699,25.499,25.699,0
1999-05-17,25.699,25.699,25.699,25.699,0
1999-05-18,24.65,24.65,24.65,24.65,0
1999-05-19,24.75,24.75,24.75,24.75,0
1999-05-20,24.7,24.7,24.7,24.7,0
1999-05-21,24.65,24.65,24.65,24.65,0
1999-05-24,24.6,24.6,24.6,24.6,0
1999-05-25,24.634,24.634,24.634,24.634,0
1999-05-26,24.634,24.634,24.634,24.634,0
1999-05-27,24.634,24.634,24.484,24.484,0
1999-05-28,24.484,24.484,24.484,24.484,0
1999-06-01,24.55,24.55,24.55,24.55,0
1999-06-02,24.42,24.42,24.42,24.42,0
1999-06-03,24.524,24.525,24.524,24.525,0
1999-06-04,24.524,24.545,24.52,24.524,0
1999-06-07,24.524,24.524,24.524,24.524,0
1999-06-08,24.524,24.584,24.524,24.584,0
1999-06-09,24.584,24.584,24.584,24.584,0
1999-06-10,24.584,24.584,24.584,24.584,0
1999-06-11,24.584,24.584,24.364,24.365,0
1999-06-14,24.364,24.364,24.364,24.364,0
1999-06-15,24.364,24.599,24.364,24.599,0
1999-06-16,24.599,24.599,24.48,24.485,0
1999-06-17,24.484,24.51,24.48,24.51,0
1999-06-18,24.494,24.494,24.445,24.445,0
1999-06-21,24.464,24.464,24.464,24.464,0
1999-06-22,24.464,24.464,24.464,24.464,0
1999-06-23,24.464,24.464,24.434,24.434,0
1999-06-24,24.434,24.434,24.344,24.344,0
1999-06-25,24.344,24.344,24.329,24.329,0
1999-06-28,24.329,24.374,24.329,24.374,0
1999-06-29,24.374,24.374,24.264,24.274,0
1999-06-30,24.274,24.274,24.23,24.23,0
1999-07-01,24.234,24.264,24.234,24.264,0
1999-07-02,24.264,24.264,24.264,24.264,0
1999-07-05,24.249,24.594,24.249,24.594,0
1999-07-06,24.594,24.594,24.454,24.454,0
1999-07-07,24.519,24.519,24.51,24.51,0
1999-07-08,24.519,24.519,24.484,24.484,0
1999-07-09,24.484,24.484,24.47,24.48,0
1999-07-12,24.442,24.46,24.442,24.46,0
1999-07-13,24.414,24.414,24.377,24.377,0
1999-07-14,24.377,24.394,24.377,24.394,0
1999-07-15,24.394,24.394,24.394,24.394,0
1999-07-16,24.394,24.394,24.34,24.349,0
1999-07-19,24.349,24.349,24.315,24.315,0
1999-07-20,24.315,24.315,24.29,24.29,0
1999-07-21,24.299,24.3,24.27,24.27,0
1999-07-22,24.274,24.28,24.25,24.26,0
1999-07-23,24.259,24.259,24.25,24.254,0
1999-07-26,24.254,24.319,24.254,24.319,0
1999-07-27,24.319,24.319,24.244,24.244,0
1999-07-28,24.244,24.31,24.244,24.31,0
1999-07-29,24.304,24.304,24.214,24.22,0
1999-07-30,24.214,24.25,24.214,24.25,0
1999-08-02,24.249,24.249,24.234,24.239,0
1999-08-03,24.239,24.239,24.239,24.239,0
1999-08-04,24.239,24.51,24.239,24.51,0
1999-08-05,24.509,24.509,24.449,24.459,0
1999-08-06,24.459,24.747,24.459,24.747,0
1999-08-09,24.747,25.574,24.747,25.574,0
1999-08-10,25.574,25.574,25.199,25.199,0
1999-08-11,25.199,25.199,25.029,25.029,0
1999-08-12,25.029,25.029,25.029,25.029,0
1999-08-13,25.029,25.029,24.864,24.864,0
1999-08-16,24.864,24.934,24.864,24.934,0
1999-08-17,24.934,24.934,24.934,24.934,0
1999-08-18,24.934,24.934,24.934,24.934,0
1999-08-19,24.934,24.934,24.699,24.699,0
1999-08-20,24.699,24.734,24.699,24.734,0
1999-08-23,24.734,24.807,24.734,24.807,0
1999-08-24,24.807,24.814,24.804,24.814,0
1999-08-25,24.814,24.814,24.784,24.784,0
1999-08-26,24.784,24.784,24.784,24.784,0
1999-08-27,24.784,24.784,24.784,24.784,0
1999-08-30,24.784,24.784,24.784,24.784,0
1999-08-31,24.784,24.784,24.774,24.774,0
1999-09-01,24.774,25.099,24.774,25.099,0
1999-09-02,25.099,25.849,25.099,25.849,0
1999-09-03,25.849,25.937,25.759,25.934,0
1999-09-06,25.934,25.999,25.934,25.999,0
1999-09-07,25.999,25.999,25.874,25.874,0
1999-09-08,25.874,25.874,25.849,25.849,0
1999-09-09,25.84,25.849,25.74,25.75,0
1999-09-10,25.744,25.839,25.744,25.839,0
1999-09-13,25.839,25.844,25.839,25.844,0
1999-09-14,25.844,25.844,25.382,25.504,0
1999-09-15,25.504,25.504,25.504,25.504,0
1999-09-16,25.504,25.559,25.504,25.559,0
1999-09-17,25.559,25.559,25.394,25.394,0
1999-09-20,25.394,25.524,25.394,25.524,0
1999-09-21,25.524,25.524,25.524,25.524,0
1999-09-22,25.524,25.524,25.524,25.524,0
1999-09-23,25.524,25.72,25.334,25.334,0
1999-09-24,25.334,25.334,25.33,25.33,0
