Date,Close
2005-12-01,6.2
2006-01-01,6.4
2006-02-01,5.5
2006-03-01,5.1
2006-04-01,5.0
2006-05-01,5.4
2006-06-01,6.0
2006-07-01,7.0
2006-09-01,6.2
2006-10-01,6.9
2006-11-01,6.6
2006-12-01,6.7
2007-01-01,7.4
2007-02-01,8.6
2007-03-01,8.2
2007-04-01,7.4
2007-05-01,7.2
2007-06-01,7.7
2007-07-01,7.8
2007-08-01,7.9
2007-09-01,7.8
2007-10-01,7.6
2007-11-01,7.8
2007-12-01,7.9
2008-01-01,8.1
2008-02-01,8.7
2008-03-01,9.9
2008-04-01,9.0
2008-05-01,8.9
2008-06-01,8.3
2008-07-01,6.5
2008-08-01,6.1
2008-09-01,6.0
2008-10-01,7.0
2008-11-01,2.6
2008-12-01,-2.0
2009-01-01,-4.8
2009-02-01,-9.9
2009-03-01,-8.4
2009-04-01,-9.2
2009-05-01,-11.0
2009-06-01,-11.8
2009-07-01,-10.7
2009-08-01,-8.7
2009-09-01,-9.6
2009-10-01,-7.7
2009-11-01,-7.9
2009-12-01,0.6
2010-01-01,0.2
2010-02-01,4.7
2010-03-01,3.1
2010-04-01,4.4
2010-05-01,5.2
2010-06-01,5.4
2010-07-01,4.4
2010-08-01,4.2
2010-09-01,3.9
2010-10-01,3.5
2010-11-01,4.3
2010-12-01,5.2
2011-01-18,2.7
2011-04-01,4.5
2011-10-03,3.4
2011-11-14,4.8
2012-05-15,4.9
2012-06-14,4.9
2012-10-02,4.0
2012-11-12,2.9
2013-01-02,2.9
2013-04-02,2.1
2013-05-17,1.6
2013-06-17,1.6
2013-08-09,1.2
2013-09-06,1.2
2013-10-01,1.2
2013-11-12,1.2
2013-12-10,1.2
2013-12-30,1.2
2014-04-01,2.0
2014-08-11,0.8
2014-09-08,0.8
2014-10-01,0.8
2014-11-13,0.7
2014-12-11,0.7
2015-04-01,0.4
2015-04-29,-3.4
2015-06-01,-4.2
2015-07-28,-4.2
2015-09-29,-4.6
2015-11-23,-3.6
2015-12-28,-4.0
2016-04-29,-1.8
2016-06-23,-0.8
2017-09-26,2.3
2017-10-30,2.4
2017-12-04,1.0
2018-01-15,-0.3
2018-03-14,2.0
2018-03-22,1.5
2018-05-02,0.7
2018-05-23,1.7
2018-06-20,2.1
2018-07-19,1.1
2018-08-17,1.8
2018-09-20,1.0
2018-10-17,1.1
2018-11-20,2.5
2018-12-19,1.8
2019-01-25,1.9
2019-02-20,0.7
2019-03-21,1.5
2019-04-18,0.6
2019-05-24,1.6
2019-06-21,0.2
2019-07-18,0.7
2019-08-19,1.7
2019-09-19,1.6
2019-10-17,2.0
2019-11-20,2.2
2019-12-18,1.6
2020-01-30,2.4
2020-02-20,1.6
2020-03-23,2.9
