Date,Close
1997-11-04,23095
1997-11-05,23860
1997-11-06,20871
1997-11-10,19859
1997-11-11,19078
1997-11-12,20731
1997-11-13,23584
1997-11-14,22091
1997-11-17,20257
1997-11-18,19187
1997-11-19,19452
1997-11-20,21321
1997-11-21,19321
1997-11-24,15273
1997-11-25,20867
1997-11-26,25039
1997-11-27,25300
1997-11-28,25830
1997-11-30,25830
1997-11-30,25830
1997-11-30,25830
1997-12-01,22878
1997-12-02,25468
1997-12-03,26341
1997-12-04,26399
1997-12-05,22662
1997-12-08,17908
1997-12-09,18708
1997-12-10,22171
1997-12-11,21773
1997-12-15,19823
1997-12-16,21369
1997-12-17,23595
1997-12-18,22737
1997-12-19,23926
1997-12-22,26329
1997-12-23,26924
1997-12-24,27896
1997-12-25,29938
1997-12-26,28139
1997-12-29,23806
1997-12-30,25331
1997-12-31,26082
1997-12-31,26082
1997-12-31,26082
1997-12-31,26082
1998-01-08,31392
1998-01-09,31901
1998-01-12,27150
1998-01-13,25110
1998-01-14,23016
1998-01-15,24198
1998-01-16,20761
1998-01-19,19295
1998-01-20,21567
1998-01-21,23604
1998-01-22,21440
1998-01-23,18891
1998-01-26,20048
1998-01-27,20590
1998-01-28,22010
1998-01-29,23624
1998-01-30,20679
1998-01-31,20679
1998-01-31,20679
1998-01-31,20679
1998-02-02,21409
1998-02-03,22005
1998-02-04,21767
1998-02-05,22424
1998-02-06,19948
1998-02-09,19629
1998-02-10,19152
1998-02-11,19141
1998-02-12,19743
1998-02-13,17861
1998-02-16,16956
1998-02-17,17173
1998-02-18,17110
1998-02-19,17476
1998-02-20,17514
1998-02-23,17677
1998-02-24,16597
1998-02-25,17046
1998-02-26,16768
1998-02-27,16266
1998-02-28,16266
1998-02-28,16266
1998-02-28,16266
1998-03-02,16687
1998-03-03,17583
1998-03-04,19147
1998-03-05,19576
1998-03-06,16831
1998-03-10,14475
1998-03-11,17504
1998-03-12,19018
1998-03-13,16429
1998-03-16,15229
1998-03-17,16221
1998-03-18,18307
1998-03-19,19402
1998-03-20,16989
1998-03-23,16189
1998-03-24,16662
1998-03-25,18152
1998-03-26,18079
1998-03-27,17421
1998-03-30,16169
1998-03-31,16539
1998-03-31,16539
1998-03-31,16539
1998-03-31,16539
1998-04-01,19463
1998-04-02,19616
1998-04-03,19185
1998-04-06,16422
1998-04-07,16581
1998-04-08,16212
1998-04-09,16704
1998-04-10,15188
1998-04-13,14585
1998-04-14,14463
1998-04-15,14508
1998-04-16,15237
1998-04-17,14304
1998-04-20,13157
1998-04-21,12828
1998-04-22,15095
1998-04-23,18492
1998-04-24,16401
1998-04-27,14609
1998-04-28,16789
1998-04-29,18360
1998-04-30,15039
1998-04-30,15039
1998-04-30,15039
1998-04-30,15039
1998-05-05,13915
1998-05-06,15061
1998-05-07,17059
1998-05-08,15576
1998-05-12,14137
1998-05-13,16023
1998-05-14,17756
1998-05-15,15456
1998-05-18,14703
1998-05-19,15032
1998-05-20,14176
1998-05-21,14159
1998-05-22,15289
1998-05-25,14519
1998-05-26,15510
1998-05-27,15273
1998-05-28,16893
1998-05-29,15284
1998-05-31,15284
1998-05-31,15284
1998-05-31,15284
1998-06-01,14723
1998-06-02,15344
1998-06-03,15549
1998-06-04,18136
1998-06-05,16965
1998-06-08,15624
1998-06-09,15168
1998-06-10,15787
1998-06-11,14596
1998-06-15,13881
